canonical_name,category,natural_source,flavour_molecule_count,source_coverage,quality_score,analysis_status,analysis_notes,metadata
butter,dairy,cattle,131,5,1.000,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":14803,""kaggle_recipe_count"":4847,""world_recipe_count"":20,""usda_exact_name_matches"":136},""seed_version"":""v1""}"
garlic,herb,allium,143,5,1.000,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":17846,""kaggle_recipe_count"":7380,""world_recipe_count"":45,""usda_exact_name_matches"":66},""seed_version"":""v1""}"
cheese,dairy,cattle,117,5,0.998,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":2015,""kaggle_recipe_count"":447,""world_recipe_count"":6,""usda_exact_name_matches"":221},""seed_version"":""v1""}"
milk,dairy,cattle,111,5,0.993,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":5330,""kaggle_recipe_count"":2263,""world_recipe_count"":15,""usda_exact_name_matches"":325},""seed_version"":""v1""}"
bread,bakery,poacceae,129,5,0.981,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":2864,""kaggle_recipe_count"":175,""world_recipe_count"":2,""usda_exact_name_matches"":188},""seed_version"":""v1""}"
spinach,vegetable,spinacia,137,5,0.969,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":1380,""kaggle_recipe_count"":366,""world_recipe_count"":4,""usda_exact_name_matches"":146},""seed_version"":""v1""}"
chicken,meat,fowl,131,5,0.968,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":8465,""kaggle_recipe_count"":982,""world_recipe_count"":5,""usda_exact_name_matches"":42},""seed_version"":""v1""}"
parmesan cheese,dairy,cattle,165,5,0.958,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":1159,""kaggle_recipe_count"":591,""world_recipe_count"":2,""usda_exact_name_matches"":146},""seed_version"":""v1""}"
corn,beverage alcoholic,zea,114,5,0.954,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":1345,""kaggle_recipe_count"":329,""world_recipe_count"":6,""usda_exact_name_matches"":48},""seed_version"":""v1""}"
beef,meat,cattle,92,5,0.953,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":3112,""kaggle_recipe_count"":273,""world_recipe_count"":8,""usda_exact_name_matches"":44},""seed_version"":""v1""}"
honey,plant derivative,bees,60,5,0.947,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":1945,""kaggle_recipe_count"":1299,""world_recipe_count"":1,""usda_exact_name_matches"":304},""seed_version"":""v1""}"
shrimp,seafood,crustacean,76,5,0.947,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":1672,""kaggle_recipe_count"":912,""world_recipe_count"":11,""usda_exact_name_matches"":230},""seed_version"":""v1""}"
rice,cereal,oryza sativa,199,5,0.944,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":2398,""kaggle_recipe_count"":509,""world_recipe_count"":17,""usda_exact_name_matches"":36},""seed_version"":""v1""}"
vinegar,plant derivative,apple,49,5,0.941,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":4928,""kaggle_recipe_count"":316,""world_recipe_count"":5,""usda_exact_name_matches"":82},""seed_version"":""v1""}"
pork,meat,domestic pig,157,5,0.934,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":1884,""kaggle_recipe_count"":300,""world_recipe_count"":2,""usda_exact_name_matches"":35},""seed_version"":""v1""}"
mustard,cabbage,brassica,134,5,0.931,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":3067,""kaggle_recipe_count"":108,""world_recipe_count"":3,""usda_exact_name_matches"":175},""seed_version"":""v1""}"
